date,investment_name,category,amount,currency,mid month check,complete month check,currency usd,currency eu,currency brl,currency aud,conv usd-brl,conv usd-aud,conv usd-eur
10/9/24,SNTD Tes Dir,FR BRL,,BRL,,,,,,,,,
10/9/24,NUBANK ibov,Ibov,,BRL,,,,,,,,,
10/9/24,NuConta,Savings BRL,45503,BRL,,,,,,,,,
10/9/24,Nu Bank Caixinha,Savings BRL,,BRL,,,,,,,,,
10/9/24,Previdência,Pension,30025,BRL,,,,,,,,,
10/9/24,XP CDB Fibra,FR BRL,64064,BRL,,,,,,,,,
10/9/24,CDB Semear,FR BRL,27885,BRL,,,,,,,,,
10/9/24,CDB Master,FR BRL,,BRL,,,,,,,,,
10/9/24,Investback,FR BRL,1762,BRL,,,,,,,,,
10/9/24,Dollar C6 Total,,,BRL,,,,,,,,,
10/9/24,Dollar C6 RF,FR US dol,,BRL,,,,,,,,,
10/9/24,Dollar C6 MFund,Fund US dol,,BRL,,,,,,,,,
10/9/24,Dollar C6 NSDQ,NASDQ US dol,,,,,,,,,,,
10/9/24,Dollar C6 Acc,Savings US dol,,,,,,,,,,,
10/9/24,,,,,,,,,,,,,
10/9/24,Fid Japan AF,Fund US dol,9727,USD,,,,,,,,,
10/9/24,Fid Europ DGF,Fund US dol,2731,USD,,,,,,,,,
10/9/24,Loomis Sayles US,Fund US dol,3793,USD,,,,,,,,,
10/9/24,,,,,,,,,,,,,
10/9/24,td prefix 12m,FR US dol,9311,USD,,,,,,,,,
10/9/24,goldsman sachs,FR US dol,1014,USD,,,,,,,,,
10/9/24,td prefix 12m,FR US dol,2665,USD,,,,,,,,,
10/9/24,td prefix 12m,FR US dol,509,USD,,,,,,,,,
10/9/24,td prefix 06m,FR US dol,1409,USD,,,,,,,,,
10/9/24,td pós fix daily,FR US dol,1759,USD,,,,,,,,,
10/9/24,goldman sachs,FR US dol,2029,USD,,,,,,,,,
10/9/24,jpmorgan,FR US dol,2045,USD,,,,,,,,,
10/9/24,td prefix 06m,FR US dol,9986,USD,,,,,,,,,
10/9/24,,,,USD,,,,,,,,,
10/9/24,APPLE,NASDQ US dol,3574,USD,,,,,,,,,
10/9/24,AMAZON,NASDQ US dol,1268,USD,,,,,,,,,
10/9/24,TESLA,NASDQ US dol,1609,USD,,,,,,,,,
10/9/24,,,,,,,,,,,,,
10/9/24,C6 Fixo,Savings BRL,240,BRL,,,,,,,,,
10/9/24,EURO C6,Savings EUR,3369,EUR,,,,,,,,,
10/9/24,WISE,FR US dol,38106,BRL,,,,,,,,,
10/9/24,Bitcoin,Crypto,15844,BRL,,,,,,,,,
10/9/24,ETH,Crypto,5141,BRL,,,,,,,,,
10/9/24,RICO BPAC11,Ibov,5870,BRL,,,,,,,,,
10/9/24,RICO ITA3,Ibov,416,BRL,,,,,,,,,
10/9/24,RICO FLRY3F,Ibov,2515,BRL,,,,,,,,,
10/9/24,RICO SQIA3F,Ibov,69,BRL,,,,,,,,,
10/9/24,RICO BCFF11,Funds BRL,755,BRL,,,,,,,,,
10/9/24,RICO BRCR11,Funds BRL,315,BRL,,,,,,,,,
