Date,Investment name,Category,Amount,Currency,"mid month check  (FROM PREVIOUS ""DATE"" VALUE, IF NOT FOUND, ""N/A""","complete month check (VS MOST RECENT RESULT FROM LAST MONTH, IF NOT FOUND, ""N/A"" ",CURRENCY IN U$ (TOTAL ROWS IN DOLLARS),CURRENCY IN AUD (TOTAL ROWS IN AUD),CURRENCY IN BRL (TOTAL ROWS IN R$)
10/9/24,SNTD Tes Dir,FR BRL,R$ -,BRL,,,,,
10/9/24,NUBANK ibov,Ibov,R$ -,BRL,,,,,
10/9/24,NuConta,Savings BRL,"R$ 45,503",BRL,,,,,
10/9/24,Nu Bank Caixinha,Savings BRL,R$ -,BRL,,,,,
10/9/24,Previdência,Pension,"R$ 30,025",BRL,,,,,
10/9/24,XP CDB Fibra,FR BRL,"R$ 64,064",BRL,,,,,
10/9/24,CDB Semear,FR BRL,"R$ 27,885",BRL,,,,,
10/9/24,CDB Master,FR BRL,R$ -,BRL,,,,,
10/9/24,Investback,FR BRL,"R$ 1,762",BRL,,,,,
10/9/24,Dollar C6 Total,,"R$ 303,299",BRL,,,,,
10/9/24,Dollar C6 RF,FR US dol,"R$ 170,233",BRL,,,,,
10/9/24,Dollar C6 MFund,Fund US dol,"R$ 90,031",BRL,,,,,
10/9/24,Dollar C6 NSDQ,NASDQ US dol,"R$ 35,739",,,,,,
10/9/24,Dollar C6 Acc,Savings US dol,"R$ 7,296",,,,,,
10/9/24,,,,,,,,,
10/9/24,Fid Japan AF,Fund US dol,"$9,727 ",USD,,,,,
10/9/24,Fid Europ DGF,Fund US dol,"$2,731 ",USD,,,,,
10/9/24,Loomis Sayles US,Fund US dol,"$3,793 ",USD,,,,,
10/9/24,,,,,,,,,
10/9/24,td prefix 12m,FR US dol,"$9,311 ",USD,,,,,
10/9/24,goldsman sachs,FR US dol,"$1,014 ",USD,,,,,
10/9/24,td prefix 12m,FR US dol,"$2,665 ",USD,,,,,
10/9/24,td prefix 12m,FR US dol,$509 ,USD,,,,,
10/9/24,td prefix 06m,FR US dol,"$1,409 ",USD,,,,,
10/9/24,td pós fix daily,FR US dol,"$1,759 ",USD,,,,,
10/9/24,goldman sachs,FR US dol,"$2,029 ",USD,,,,,
10/9/24,jpmorgan,FR US dol,"$2,045 ",USD,,,,,
10/9/24,td prefix 06m,FR US dol,"$9,986 ",USD,,,,,
10/9/24,,,,USD,,,,,
10/9/24,APPLE,NASDQ US dol,"$3,574 ",USD,,,,,
10/9/24,AMAZON,NASDQ US dol,"$1,268 ",USD,,,,,
10/9/24,TESLA,NASDQ US dol,"$1,609 ",USD,,,,,
10/9/24,,,,,,,,,
10/9/24,C6 Fixo,Savings BRL,R$ 240,BRL,,,,,
10/9/24,EURO C6,Savings EUR,"R$ 3,369",EUR,,,,,
10/9/24,WISE,FR US dol,"R$ 38,106",AUD,,,,,
10/9/24,Bitcoin,Crypto,"R$ 15,844",BRL,,,,,
10/9/24,ETH,Crypto,"R$ 5,141",BRL,,,,,
10/9/24,RICO BPAC11,Ibov,"R$ 5,870",BRL,,,,,
10/9/24,RICO ITA3,Ibov,R$ 416,BRL,,,,,
10/9/24,RICO FLRY3F,Ibov,"R$ 2,515",BRL,,,,,
10/9/24,RICO SQIA3F,Ibov,R$ 69,BRL,,,,,
10/9/24,RICO BCFF11,Funds BRL,R$ 755,BRL,,,,,
10/9/24,RICO BRCR11,Funds BRL,R$ 315,BRL,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
